String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Gamma Zo Tour 16,51,Fast,,214.9,52.3,3.8
Yonex Tournament 80 Spin 15L-16,62,Fast,,185.2,20.8,NA
Gamma Zo Tour 16,40,Fast,,191.5,55.6,3.8
Yonex Tournament 80 Spin 15L-16,51,Fast,,161.7,21.7,NA
Yonex Tournament 80 Spin 15L-16,40,Fast,,133.7,24.6,NA
Gamma Zo Tour 16,62,Fast,,250.3,43.8,3.8
Pacific Prime Natural Gut 16,62,Fast,Gut,86.3,14.2,4.4
Pacific Tough Gut 16L,40,Fast,Gut,90.9,19.8,NA
Klip Legend 16 Uncoated,62,Fast,Gut,104.6,12.3,1.2
Wilson Natural Gut 17,40,Fast,Gut,82.3,18.9,2.2
Babolat Tonic + Natural Gut 16,51,Fast,Gut,98.9,14.9,NA
Luxilon Natural Gut 1.25,51,Fast,Gut,82.3,13,3.7
Pacific Classic Natural Gut 16,51,Fast,Gut,100,15.4,2.8
Pacific Prime Gut Orange Bull 16L (1.25),51,Fast,Gut,76,9.6,2.3
Pacific Tough Gut 16,62,Fast,Gut,78.3,17.6,1.8
Babolat Tonic + Natural Gut 16,40,Fast,Gut,90.9,19.5,NA
Klip Armour Pro 16/1.30,51,Fast,Gut,109.2,16.3,1.4
Babolat VS Natural ThermoGut 16 Touch,51,Fast,Gut,96,18.7,2.7
Babolat VS Natural Team Gut 17 (1.25),40,Fast,Gut,86.3,20.2,0
Pacific Prime Natural Gut 16,51,Fast,Gut,85.2,13.5,4.4
Wilson Natural Gut 16 (1.30),51,Fast,Gut,92.6,12.1,4
Pacific Prime Natural Gut 16L,62,Fast,Gut,98.3,12.6,NA
Klip Legend 16 Uncoated,51,Fast,Gut,101.2,15,1.2
Wilson Natural Gut 16,51,Fast,Gut,96.6,17.3,1.3
Pacific Classic Natural Gut 16,40,Fast,Gut,89.7,19.9,2.8
Pacific Prime Gut Orange Bull 16 (1.30),51,Fast,Gut,74.3,11.7,3.1
Pacific Tough Gut 16,51,Fast,Gut,106.9,20.5,1.8
Pacific Tough Gut 16L,62,Fast,Gut,104,12.6,NA
Klip Armour Pro 16/1.30,40,Fast,Gut,102.3,20,1.4
Wilson Natural Gut 17,62,Fast,Gut,92.6,12.9,2.2
Pacific Prime Natural Gut 16,40,Fast,Gut,81.2,17.2,4.4
Pacific Prime Natural Gut 16L,51,Fast,Gut,93.7,14.1,NA
Klip Legend 16 Uncoated,40,Fast,Gut,97.2,20.4,1.2
Wilson Natural Gut 16,62,Fast,Gut,99.4,16.5,1.3
Babolat VS Natural Team Gut 17 (1.25),62,Fast,Gut,97.7,14.7,0
Pacific Tough Gut 16,40,Fast,Gut,102.3,26.7,1.8
Pacific Tough Gut 16L,51,Fast,Gut,96,15.8,NA
Klip Legend 17 (1.25),51,Fast,Gut,89.7,12.3,2
Babolat VS Natural ThermoGut 16 Touch,62,Fast,Gut,101.7,17.5,2.7
Wilson Natural Gut 17,51,Fast,Gut,80.6,15.2,2.2
Babolat Tonic + Natural Gut 16,62,Fast,Gut,96.6,13.1,NA
Pacific Classic Natural Gut 16,62,Fast,Gut,89.2,13.9,2.8
Babolat VS Touch 15L (1.35),51,Fast,Gut,88.6,12.4,3
Pacific Prime Natural Gut 16L,40,Fast,Gut,86.3,17.4,NA
Klip Armour Pro 16/1.30,62,Fast,Gut,105.2,12.3,1.4
Babolat VS Natural ThermoGut 16 Touch,40,Fast,Gut,90.9,26.8,2.7
Wilson Natural Gut 16,40,Fast,Gut,94.3,24.1,1.3
Babolat VS Natural Team Gut 17 (1.25),51,Fast,Gut,92,15.2,0
Wilson Sensation Supreme 16,62,Fast,Nylon,167.4,25,3
Prince Premier W/ Softflex 17,51,Fast,Nylon,150.9,22.7,3.2
Head ETS 16,40,Fast,Nylon,143.4,27.8,1.9
Volkl Synthetic Gut 16,62,Fast,Nylon,195.5,18.8,5.1
Klip Scorcher 16/1.30,40,Fast,Nylon,134.3,27.7,3.2
Wilson Hollow Core Pro 17,51,Fast,Nylon,150.3,33.7,3.9
Mantis Comfort Synthetic 16,40,Fast,Nylon,122.3,27.4,3.8
Prince Lightning XX 17,62,Fast,Nylon,197.7,16.8,3.5
Gamma TNT2 Rx 17 (1.25),51,Fast,Nylon,148,15.5,5.2
Gosen A.K. Control 16,51,Fast,Nylon,156.6,22.4,5.4
Gosen OG-Sheep Micro 16,62,Fast,Nylon,201.7,20.7,3.4
Prince Premier Control 16,51,Fast,Nylon,157.7,17.8,5.4
Volkl Power-Fiber II 17,51,Fast,Nylon,158.9,19.6,2.7
Head FXP 17,51,Fast,Nylon,173.2,20.5,4.1
Gamma Asterisk 16,40,Fast,Nylon,133.2,23.4,3.8
Dunlop DNA 17 (1.22),40,Fast,Nylon,111.4,33.9,4.1
Gamma Professional 17,40,Fast,Nylon,120.6,30.1,2.8
Babolat Origin 16 (1.30),51,Fast,Nylon,166.9,15,5.6
Head Synthetic Gut PPS 17 (1.25),51,Fast,Nylon,150.9,14.6,6.2
Head Synthetic Gut 16,62,Fast,Nylon,204,19.9,3.6
Dunlop Comfort Synthetic 17,51,Fast,Nylon,184,19.4,NA
Klip Venom 16/1.30,51,Fast,Nylon,163.4,20.8,2.3
Wilson Sensation 17,62,Fast,Nylon,182.3,22.4,3.6
Babolat Addiction 16,62,Fast,Nylon,197.7,17.4,3.1
